Candidato,Ipsos,Canal,Entrevistas,Fecha 1,Fecha 2
VM,0.102,Canal N,2,1/01/2021,28/03/2021
VM,0.102,RPP,5,1/01/2021,28/03/2021
VM,0.102,Latina,2,1/01/2021,28/03/2021
VM,0.102,ATV,2,1/01/2021,28/03/2021
VM,0.102,Panam,1,1/01/2021,28/03/2021
VM,0.102,TV Peru,0,1/01/2021,28/03/2021
VM,0.102,America,1,1/01/2021,28/03/2021
PC,0.07,Williax,0,1/01/2021,28/03/2021
PC,0.07,Canal N,2,1/01/2021,28/03/2021
PC,0.07,RPP,2,1/01/2021,28/03/2021
PC,0.07,Latina,1,1/01/2021,28/03/2021
PC,0.07,ATV,2,1/01/2021,28/03/2021
PC,0.07,Panam,0,1/01/2021,28/03/2021
PC,0.07,TV Peru,2,1/01/2021,28/03/2021
PC,0.07,America,1,1/01/2021,28/03/2021
CG,0.001,Williax,0,1/01/2021,28/03/2021
CG,0.001,Canal N,0,1/01/2021,28/03/2021
CG,0.001,RPP,2,1/01/2021,28/03/2021
CG,0.001,Latina,0,1/01/2021,28/03/2021
CG,0.001,ATV,0,1/01/2021,28/03/2021
CG,0.001,Panam,0,1/01/2021,28/03/2021
CG,0.001,TV Peru,2,1/01/2021,28/03/2021
CG,0.001,America,0,1/01/2021,28/03/2021
AA,0.004,Williax,0,1/01/2021,28/03/2021
AA,0.004,Canal N,0,1/01/2021,28/03/2021
AA,0.004,RPP,1,1/01/2021,28/03/2021
AA,0.004,Latina,0,1/01/2021,28/03/2021
AA,0.004,ATV,2,1/01/2021,28/03/2021
AA,0.004,Panam,0,1/01/2021,28/03/2021
AA,0.004,TV Peru,2,1/01/2021,28/03/2021
AA,0.004,America,0,1/01/2021,28/03/2021
